Start_push	End_push	Pushes_duration	X	Y	Z	80ArAr(ArAr80Di)	Myelope_276((2967))Y89(Y89Di)	Histone_126((2979))In113(In113Di)	SMA_174((2780))In115(In115Di)	131Xe(Xe131Di)	134Xe(Xe134Di)	136Ba(Ba136Di)	138La(La138Di)	CD16_1820((2945))Pr141(Pr141Di)	CD38_1719((2961))Nd142(Nd142Di)	HLA-DR_1849((2953))Nd143(Nd143Di)	CD27_2231((2946))Nd144(Nd144Di)	CD15_627((2954))Nd145(Nd145Di)	CD45RA_732((2955))Nd146(Nd146Di)	CD163_1863((2947))Sm147(Sm147Di)	Beta-2M_1855((2962))Nd148(Nd148Di)	CD20_36((2980))Sm149(Sm149Di)	CD68_77((2963))Nd150(Nd150Di)	Indolea_2281((2981))Eu151(Eu151Di)	CD3_1841((2941))Sm152(Sm152Di)	LAG-3_1817((2982))Eu153(Eu153Di)	CD11c_2406((2983))Sm154(Sm154Di)	CD279(P_1743((2762))Gd155(Gd155Di)	CD140b(_1938((2948))Gd156(Gd156Di)	CD7_2258((2956))Gd158(Gd158Di)	Granzym_2215((2819))Tb159(Tb159Di)	CD274(B_2298((2949))Gd160(Gd160Di)	TCF1TCF_2221((2984))Dy161(Dy161Di)	CD45RO_2014((2950))Dy162(Dy162Di)	FOXP3_115((2942))Dy163(Dy163Di)	CD278(I_1815((2951))Dy164(Dy164Di)	CD8a_1718((2957))Ho165(Ho165Di)	Carboni_2443((2985))Er166(Er166Di)	CD33_2237((2986))Er167(Er167Di)	Ki-67_142((2965))Er168(Er168Di)	VISTA_2024((2966))Tm169(Tm169Di)	CD40_2255((2821))Er170(Er170Di)	CD4_2293((2943))Yb171(Yb171Di)	CD14_2275((2958))Yb172(Yb172Di)	E-Cadhe_103((2959))Yb173(Yb173Di)	CD303_2313((2952))Yb174(Yb174Di)	CD206(M_324((2960))Lu175(Lu175Di)	cleaved_198((2944))Yb176(Yb176Di)	DNA1(Ir191Di)	DNA2(Ir193Di)	196Pt(Pt196Di)	206Pb(Pb206Di)
678119	678310	192	168	4	2568	8140.484	0.000	0.000	0.000	65.721	41.416	35.672	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.881	1.005	2.290	1.663	0.000	1.000	0.000	1.000	1.000	3.022	1.000	4.354	1.000	0.000	2.437	1.000	0.000	0.622	1.000	1.545	0.000	1.520	4.258	1.896	12.288	1.167	0.000	0.000	19.262	31.599	2.788	2.509
678312	678503	192	169	4	2569	8252.125	1.000	5.774	0.000	77.391	27.905	31.567	7.550	0.000	0.000	3.876	0.000	3.000	0.000	0.000	8.326	0.000	1.700	1.000	0.000	0.000	1.000	0.000	0.000	1.000	1.000	0.000	0.000	0.810	2.339	0.000	0.000	3.240	2.821	2.400	2.000	2.412	2.159	3.000	31.915	2.834	0.000	4.958	19.448	48.118	1.000	1.000
678504	678695	192	170	4	2570	8059.126	0.000	0.000	0.000	90.077	45.411	27.404	3.000	0.000	1.573	0.000	0.000	3.823	0.000	1.000	5.857	0.000	0.000	2.777	0.000	0.000	0.000	1.000	0.000	1.000	1.000	1.000	1.487	0.000	1.624	0.000	0.000	0.000	3.198	0.000	3.263	0.000	3.940	5.912	24.566	4.668	0.000	0.000	24.244	45.023	4.278	0.000
678696	678887	192	171	4	2571	8609.264	1.000	2.573	1.000	70.999	47.469	36.583	0.000	0.000	0.000	0.000	0.000	4.088	1.000	0.000	2.472	0.000	0.000	1.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.458	1.000	0.000	2.350	2.160	0.000	0.000	0.000	0.000	1.000	0.000	30.922	1.134	2.641	0.000	32.634	54.442	1.000	1.000
678888	679079	192	172	4	2572	8281.088	0.000	2.000	0.000	89.716	37.431	42.375	4.054	0.000	1.000	0.309	0.000	6.259	0.000	0.000	2.000	0.000	2.266	0.000	4.226	0.000	0.000	1.944	1.469	0.000	0.000	0.000	6.494	0.551	1.000	0.000	1.000	1.309	1.082	0.000	0.000	0.000	2.583	1.000	13.053	0.000	1.000	0.000	44.471	84.255	1.000	1.000
679080	679271	192	173	4	2573	7388.732	0.000	1.401	0.000	89.406	32.308	25.926	2.290	0.000	0.000	0.000	2.000	1.373	0.000	0.000	0.000	0.000	1.322	0.000	0.000	0.000	0.000	0.000	1.661	0.000	0.000	0.000	2.000	1.199	0.000	0.000	0.000	1.000	1.443	0.000	0.000	0.000	2.093	4.128	4.000	1.167	1.000	0.000	52.336	85.504	0.000	0.000
679273	679464	192	174	4	2574	8227.745	0.000	1.000	1.000	81.268	32.144	33.349	1.000	0.000	0.000	0.000	1.000	0.000	3.272	0.000	0.000	0.000	1.000	1.000	0.000	1.000	2.670	0.000	0.000	0.000	2.094	0.000	2.000	5.635	1.000	0.000	1.436	0.000	0.000	1.940	0.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	48.434	63.780	1.000	0.000
679465	679656	192	175	4	2575	7810.058	0.000	2.144	0.000	80.028	30.325	31.266	3.496	0.000	0.000	0.000	0.000	5.300	0.000	0.000	0.000	0.000	0.000	1.221	0.000	0.000	0.000	0.000	1.853	1.156	0.000	0.000	0.000	1.000	3.606	2.889	8.398	0.000	0.000	0.000	1.000	0.000	1.060	0.000	3.000	0.000	0.000	0.000	30.227	94.549	2.000	0.000
679657	679848	192	176	4	2576	7794.179	0.000	2.458	0.000	66.490	44.290	42.263	4.359	6.447	0.000	8.557	1.271	1.000	0.000	0.000	1.190	0.000	0.000	1.000	6.954	1.000	0.000	0.000	1.000	9.810	7.628	0.000	0.000	10.695	1.000	3.000	42.793	0.000	3.000	0.000	0.000	1.222	1.026	9.705	2.031	2.001	0.000	0.000	58.301	73.140	1.000	1.111
679849	680040	192	177	4	2577	8304.428	0.000	1.000	1.000	98.894	46.371	30.777	2.702	2.646	2.974	4.330	2.000	4.000	2.683	0.000	4.036	1.758	5.273	0.000	14.197	0.000	0.000	0.000	0.000	33.124	9.950	0.000	7.889	4.394	2.397	0.000	62.036	0.000	1.000	0.000	2.153	0.000	5.199	4.722	7.057	1.000	0.000	0.000	23.147	58.094	0.000	0.000
680041	680232	192	178	4	2578	8098.082	0.000	2.858	0.000	65.681	37.247	20.703	1.008	1.569	1.913	7.629	0.000	2.000	1.496	1.000	3.002	0.000	1.000	1.767	3.353	1.000	0.000	0.000	0.000	16.363	21.512	1.064	1.778	3.458	1.462	1.000	50.562	0.000	4.443	1.000	1.000	1.760	0.000	7.539	2.000	0.467	1.000	0.000	20.309	33.704	0.000	0.000
680234	680425	192	179	4	2579	9066.099	1.870	2.687	1.000	67.510	36.610	38.566	4.901	0.000	0.000	4.196	0.000	2.554	0.000	1.000	1.000	0.000	4.186	0.000	7.117	0.000	0.000	0.000	2.479	20.877	21.051	0.000	1.000	5.949	0.000	0.000	50.945	0.000	1.214	0.000	2.780	1.000	3.450	2.062	6.926	6.402	0.000	0.000	36.155	53.054	0.000	0.000
680426	680617	192	180	4	2580	8202.454	0.000	2.000	0.000	101.126	39.205	32.033	0.000	0.000	0.000	3.454	3.357	13.005	3.150	7.092	3.190	0.000	1.385	0.000	18.981	0.666	1.000	0.000	0.894	25.736	49.253	2.871	1.000	2.528	0.000	1.238	50.402	0.000	1.050	0.000	1.000	1.189	1.391	11.090	2.096	1.000	0.000	0.000	68.656	105.337	0.000	3.298
680618	680809	192	181	4	2581	7918.167	0.000	2.058	0.000	74.309	38.371	44.391	3.535	0.615	0.000	9.722	3.597	6.720	1.652	0.000	4.004	0.000	3.525	2.010	12.472	1.000	0.000	1.000	1.000	35.134	50.988	3.129	5.335	2.000	2.502	1.000	21.417	2.374	5.838	1.000	3.472	0.000	1.000	8.870	2.098	0.734	0.000	1.307	73.676	122.840	1.157	0.000
680810	681001	192	182	4	2582	8262.702	1.000	1.000	0.000	96.396	37.154	33.412	2.000	1.000	0.000	11.794	0.000	8.808	0.000	2.156	5.570	0.000	0.000	0.000	17.862	0.000	1.000	0.000	3.917	17.561	70.599	0.000	4.009	6.005	1.559	1.270	26.937	0.000	4.411	1.000	3.121	2.156	3.225	12.293	2.497	0.000	0.000	0.000	62.652	97.217	1.000	0.000
681002	681193	192	183	4	2583	8447.741	0.000	1.000	0.000	66.610	36.457	28.382	3.924	1.000	0.000	9.268	1.891	4.000	0.000	2.375	3.879	1.852	2.322	0.000	8.701	1.000	1.589	5.601	1.000	27.213	46.979	1.000	3.848	1.750	2.000	0.000	32.618	1.734	3.148	0.000	6.647	1.288	4.000	7.385	2.000	0.000	0.000	0.000	35.542	88.928	1.000	0.000
681194	681385	192	184	4	2584	8565.762	0.000	2.000	0.000	86.349	41.036	33.992	3.290	2.462	0.000	20.990	0.000	6.378	0.000	1.874	4.537	0.000	4.116	0.000	2.012	4.949	2.017	0.000	0.000	16.736	31.148	1.000	0.000	5.653	2.177	0.000	20.310	1.000	1.000	2.696	1.000	2.478	2.000	24.417	6.587	2.968	0.000	0.000	35.346	82.623	1.438	3.255
681387	681578	192	185	4	2585	8063.575	0.000	5.000	0.000	91.955	37.970	29.266	4.917	8.785	1.203	32.671	0.000	3.181	3.462	8.154	1.000	2.287	7.407	1.000	14.623	1.363	2.430	1.000	0.000	13.533	11.401	1.000	1.000	10.010	1.000	0.000	77.776	2.440	5.821	1.085	2.351	1.255	6.801	25.010	1.000	0.000	2.738	0.000	28.596	35.017	1.000	0.000
