PROBEID	ENTREZ	SYMBOL
ILMN_1782412	153572	IRX2
ILMN_1697460	92840	REEP6
ILMN_1763666	222	ALDH3B2
ILMN_1741648	3120	HLA-DQB2
ILMN_2413323	2922	GRP
ILMN_1797154	563	AZGP1
ILMN_2382942	771	CA12
ILMN_1790350	285386	TPRG1
ILMN_1718295	342667	STAC2
ILMN_1661078	644844	PHGR1
ILMN_2410713	2264	FGFR4
ILMN_1704065	400768	LOC400768
ILMN_1696243	401236	FLJ23152
ILMN_1714730	11065	UBE2C
ILMN_1752899	53335	BCL11A
ILMN_1720373	8140	SLC7A5
ILMN_1677314	4582	MUC1
ILMN_1742881	6857	SYT1
ILMN_1805636	93210	PGAP3
ILMN_1725139	768	CA9
ILMN_2384056	2852	GPER
ILMN_1737184	83879	CDCA7
ILMN_1791759	3627	CXCL10
ILMN_1704398	8326	FZD9
ILMN_2385672	2006	ELN
ILMN_1651282	1308	COL17A1
ILMN_1804357	2786	GNG4
ILMN_1741597	389493	LOC389493
ILMN_1753139	124220	ZG16B
ILMN_1809639	219623	TMEM26
ILMN_1700031	23532	PRAME
ILMN_1683798	404266	HOXB-AS3
ILMN_1733746	65055	REEP1
ILMN_2072568	9073	CLDN8
ILMN_1712075	23336	SYNM
ILMN_1706483	79098	C1orf116
ILMN_1781745	401546	C9orf152
ILMN_1804735	875	CBS
ILMN_1705466	158763	ARHGAP36
ILMN_1710734	3003	GZMK
ILMN_1713995	6337	SCNN1A
ILMN_2114568	115362	GBP5
ILMN_1718483	22977	AKR7A3
ILMN_1740900	652	BMP4
ILMN_1730039	84966	IGSF21
ILMN_1675331	5178	PEG3
ILMN_1663454	5317	PKP1
ILMN_1696339	7546	ZIC2
ILMN_1732189	93426	SYCE1
ILMN_2170814	27074	LAMP3
ILMN_2069915	4107	MAGEA8
ILMN_2228463	1644	DDC
ILMN_1779882	134548	SOWAHA
ILMN_1727087	2697	GJA1
ILMN_1773352	6352	CCL5
ILMN_1761833	30061	SLC40A1
ILMN_1736078	7060	THBS4
ILMN_1660718	9568	GABBR2
ILMN_2387105	4969	OGN
ILMN_2337263	5570	PKIB
ILMN_1803528	79782	LRRC31
ILMN_1680757	389816	LRRC26
ILMN_1671365	5625	PRODH
ILMN_1736184	2947	GSTM3
ILMN_2349459	332	BIRC5
ILMN_2302757	8857	FCGBP
ILMN_1795342	79083	MLPH
ILMN_1813386	84940	CORO6
