gene_id,L10-WT1,L10-WT3,L10-WT2,L10-WT4,p6-WT2,p6-WT4,p6-WT1,L1-WT4,L1-WT1,L1-WT2
ENSMUSG00000092083,0,0,0,0,1,0,0,0,0,1
ENSMUSG00000102937,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104149,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088829,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077377,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101652,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000100814,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025925,40,72,40,24,151,154,121,158,160,130
ENSMUSG00000104379,2,3,1,1,47,16,8,10,11,10
ENSMUSG00000032719,2,2,2,2,41,14,2,7,8,12
ENSMUSG00000088943,0,0,0,0,0,1,1,1,0,0
ENSMUSG00000100652,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000067795,0,0,1,0,4,0,1,0,0,1
ENSMUSG00000043716,3019,3573,2769,2308,4282,4590,1683,8080,9411,8098
ENSMUSG00000025921,101,149,74,73,189,182,91,208,226,202
ENSMUSG00000104165,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000100868,0,3,3,2,4,8,4,6,5,3
ENSMUSG00000025920,68,152,88,80,223,197,149,260,250,205
ENSMUSG00000089982,1,4,2,1,6,5,3,3,6,4
ENSMUSG00000025939,104,184,118,90,326,258,213,456,415,401
ENSMUSG00000102457,0,2,0,1,3,4,1,4,5,4
ENSMUSG00000079658,170,197,140,131,210,207,102,426,536,440
ENSMUSG00000097744,0,5,1,0,0,1,0,2,3,2
ENSMUSG00000100959,0,0,0,0,0,0,1,0,1,0
ENSMUSG00000025940,171,237,136,147,176,202,81,316,470,315
ENSMUSG00000025779,146,150,118,91,16,24,23,168,225,151
ENSMUSG00000100093,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091020,0,1,0,0,1,3,0,0,0,2
ENSMUSG00000101640,0,0,0,0,0,1,0,1,0,1
ENSMUSG00000104133,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000042686,18,40,30,16,85,121,64,44,52,59
ENSMUSG00000100110,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000025777,0,0,0,0,3,8,2,2,2,5
ENSMUSG00000099899,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100272,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100398,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101589,0,2,1,0,1,2,1,0,5,2
ENSMUSG00000102048,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089534,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000067780,7,11,14,23,140,56,33,165,169,186
ENSMUSG00000100053,0,3,0,1,13,8,4,5,9,8
ENSMUSG00000085125,1,6,3,4,26,36,18,15,31,18
ENSMUSG00000025776,35,41,23,31,323,325,46,112,190,148
ENSMUSG00000099895,1,2,0,0,3,4,1,1,1,3
ENSMUSG00000100554,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000099473,0,0,0,0,0,0,0,0,0,0
