"Feature","HMDB","KEGG.ID","KEGGCompound","Pathway"
"propionylcarnitine","HMDB0000824","C03017","O-Propanoylcarnitine","Fatty acyl carnitines"
"pyroglutamic acid","HMDB0000267","C01879","Pyroglutamic acid","Glutathione metabolism"
"pyruvate","HMDB0000243","C00022","Pyruvate","Glycolysis / Gluconeogenesis"
"S-(2-succinyl)cysteine",NA,NA,NA,"Not assigned"
"S-adenosylhomocysteine","HMDB0000939","C00021","S-Adenosyl-L-homocysteine","Cysteine and methionine metabolism"
"S-adenosylmethionine","HMDB0001185","C00019","S-Adenosyl-L-methionine","Cysteine and methionine metabolism"
"SAICAR","HMDB0000797","C04823","1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole","Purine metabolism"
"sedoheptulose 7-phosphate","HMDB0258206","C05382","Sedoheptulose 7-phosphate","Pentose phosphate pathway"
"serine","HMDB0000187","C00065","L-Serine","Amino acid metabolism"
"S-lactoylglutathione","HMDB0001066","C03451","(R)-S-Lactoylglutathione","Glutathione metabolism"
"stearoylcarnitine C18","HMDB0000848",NA,NA,"Fatty acyl carnitines"
"succinate","HMDB0000254","C00042","Succinate","Citrate cycle (TCA cycle)"
"succinylglutathione",NA,"C03174","S-Succinylglutathione","Glutathione metabolism"
"taurine","HMDB0000251","C00245","Taurine","Not assigned"
"tetradecanoylcarnitine C14","HMDB0005066",NA,NA,"Not assigned"
"tetradecenoylcarnitine C14:1",NA,NA,NA,"Fatty acyl carnitines"
"thiamine","HMDB0000235","C00378","Thiamine","Vitamin digestion and absorption"
"threonine","HMDB0000167","C00188","L-Threonine","Amino acid metabolism"
"trans-4-hydroxyproline","HMDB0000725","C01157","Hydroxyproline","Amino acid metabolism"
"trimethyllysine","HMDB0001325","C03793","N6,N6,N6-Trimethyl-L-lysine","Amino acid metabolism"
"tryptophan","HMDB0000929","C00078","L-Tryptophan","Amino acid metabolism"
"tyrosine","HMDB0000158","C00082","L-Tyrosine","Amino acid metabolism"
"UDP","HMDB0000295","C00015","UDP","Pyrimidine metabolism"
"UDP-GlcNac",NA,NA,NA,"Not assigned"
"UDP-hexose",NA,NA,NA,"Not assigned"
"UMP","HMDB0000288","C00105","UMP","Pyrimidine metabolism"
"uric acid","HMDB0000289","C00366","Urate","Purine metabolism"
"uridine","HMDB0000296","C00299","Uridine","Pyrimidine metabolism"
"UTP","HMDB0000285","C00075","UTP","Pyrimidine metabolism"
"valine","HMDB0000883","C00183","L-Valine","Valine, leucine and isoleucine biosynthesis"
"Val-Lys","HMDB0029132",NA,NA,"Amino acid metabolism"
"xanthine","HMDB0000292","C00385","Xanthine","Purine metabolism"
